ano,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,id_classe,area
2020,RS,Rio Grande do Sul,4309050,Glorinha,15,0.0599343746337891
1985,PI,Piauí,2207553,Paquetá,25,8.644950741577189
2014,MA,Maranhão,2111672,São Roberto,33,0.309929318359375
1987,MG,Minas Gerais,3138302,Leandro Ferreira,4,19.62139211029051
2008,RS,Rio Grande do Sul,4306130,Cruzaltense,3,24.4277164176028
2019,SP,São Paulo,3520103,Igarapava,48,1.590460593811038
1991,SP,São Paulo,3516200,Franca,9,0.4544237581176753
2018,MG,Minas Gerais,3162609,São João do Oriente,0,0.0008445178833008
2007,GO,Goiás,5220157,São Luíz do Norte,11,2.146878891845703
2004,SP,São Paulo,3514908,Elias Fausto,0,0.0074170717773438
2017,RS,Rio Grande do Sul,4323804,Xangri-lá,15,9.057457203796355
1986,GO,Goiás,5220157,São Luíz do Norte,39,2.106654743408202
2000,PI,Piauí,2200459,Alvorada do Gurguéia,33,0.7500392327270506
2011,RS,Rio Grande do Sul,4301057,Arroio do Sal,9,1.886673481628414
1998,ES,Espírito Santo,3202652,Irupi,21,48.17976711736723
2009,MG,Minas Gerais,3170438,União de Minas,25,0.6408347941284178
2013,RS,Rio Grande do Sul,4317509,Santo Ângelo,39,422.1803646806758
2018,MG,Minas Gerais,3158607,Santana do Deserto,25,0.041525412902832
2006,MA,Maranhão,2107209,Nina Rodrigues,41,0.0856709927978515
2001,SP,São Paulo,3519402,Ibirá,47,1.437189988464355
1999,BA,Bahia,2910727,Eunápolis,9,65.3897781537451
1991,AM,Amazonas,1301605,Fonte Boa,11,24.3441476072388
2004,SC,Santa Catarina,4215208,Romelândia,21,99.36930703535072
1999,SC,Santa Catarina,4202909,Brusque,15,3.086862527343753
2008,RS,Rio Grande do Sul,4313391,Novo Cabrais,3,36.12803090722577
1985,TO,Tocantins,1721257,Tupirama,15,9.653261801635924
1990,PB,Paraíba,2505709,Dona Inês,3,0.6821059419555646
2020,MG,Minas Gerais,3123106,Dores de Guanhães,33,6.776294838928208
2014,MT,Mato Grosso,5107065,Querência,3,11836.26396415342
2015,PE,Pernambuco,2609907,Ouricuri,30,2.214343449279792
2021,PR,Paraná,4119301,Pinhão,11,33.67655544531235
2012,AM,Amazonas,1301654,Guajará,3,7165.693646937828
1990,MG,Minas Gerais,3125002,Ewbank da Câmara,29,0.0058299957885742
2020,AC,Acre,1200450,Senador Guiomard,3,637.1084513984712
2010,SP,São Paulo,3544202,Riolândia,3,40.69414882641467
1997,MG,Minas Gerais,3140605,Materlândia,15,67.25380189733943
1993,PI,Piauí,2204303,Fronteiras,12,22.44008869757094
1991,MG,Minas Gerais,3114303,Carmo do Paranaíba,24,5.076427864380066
1991,PE,Pernambuco,2604304,Cedro,33,0.7354327510986319
2005,SP,São Paulo,3517901,Guaraci,47,23.55269823339878
1992,MG,Minas Gerais,3146255,Padre Carvalho,24,0.5306572525634763
2010,RN,Rio Grande do Norte,2401107,Areia Branca,4,207.2960247017807
2018,PE,Pernambuco,2606606,Ibimirim,41,0.7938557213745117
2015,SE,Sergipe,2800100,Amparo de São Francisco,24,0.1162124252319334
1996,BA,Bahia,2931400,Teodoro Sampaio,24,0.180914789428711
2012,MS,Mato Grosso do Sul,5001102,Aquidauana,41,5.212162079345712
2008,PI,Piauí,2210706,Simões,25,7.234117575561528
2003,MS,Mato Grosso do Sul,5003207,Corumbá,3,11272.7655798103
2005,MG,Minas Gerais,3115474,Catuti,15,204.3367036484939
